ID,SEX,Age_8th,IQ_1st,Attention_mean_3Y,CE_1st,CE_5th,Math_ach_7th,FNL_accuracy_0_5_8th,FNL_accuracy_0_5_9th,NL_accuracy_0_100_1st,NL_accuracy_0_1000_6th,Fract_Add_7th,Fract_concept_7th,Numset_1st,Numset_6th
268,0,172,96,6.853,41,57.999,33,0.084,0.096,0.114,0.076,9,15,0.117,0.26
271,0,169,99,6.667,36,62.001,36,0.059,0.048,0.087,0.028,8,16,0.08,0.31
273,0,169,86,5.667,37,45.999,23,0.204,0.255,0.124,0.087,6,12,0.053,0.22
275,0,170,102,5.963,36,50.001,33,0.137,0.114,0.13,0.027,2,16,0.06,0.23
276,0,174,93,5.927,51,54.999,31,0.147,0.261,0.097,0.047,3,16,0.1,0.26
279,1,172,100,5.813,38,45,45,0.034,0.031,0.145,0.023,12,16,0.107,0.33
280,1,169,128,6.5,33,57,43,0.033,0.028,0.094,0.018,12,15,0.19,0.35
281,0,169,109,4.853,32,54,34,0.087,0.069,0.185,0.042,10,16,0.103,0.23
285,1,170,112,3.333,38,51,32,0.105,0.092,0.071,0.055,8,15,0.13,0.26
286,1,165,113,5.773,35,54,40,0.171,0.036,0.094,0.016,12,15,0.14,0.32
289,1,167,120,4.037,22,51.999,35,0.032,0.027,0.066,0.053,12,16,0.15,0.3
290,1,173,104,6.52,44,57.999,40,0.022,0.047,0.065,0.035,11,16,0.19,0.36
292,0,164,97,4.777,32,48,24,0.284,0.299,0.285,0.064,2,10,0.06,0.24
294,1,166,115,3.5,28,36,31,0.062,0.051,0.143,0.056,6,16,0.123,0.22
295,1,167,115,6.073,41,51.999,34,0.143,0.067,0.096,0.024,9,16,0.097,0.28
298,0,169,112,6.037,44,56.001,48,0.033,0.036,0.1,0.032,6,16,0.11,0.27
299,0,175,119,6.59,36,45,32,0.11,0.122,0.074,0.077,4,16,0.157,0.37
300,0,171,91,6.817,52,54.999,42,0.021,0.034,0.201,0.021,10,16,0.173,0.39
301,1,166,111,3.835,28,47.001,30,0.069,0.071,0.103,0.021,7,15,0.09,0.24
302,0,167,95,5.997,44,54.999,28,0.133,0.084,0.074,0.052,8,16,0.087,0.28
304,0,172,97,4.667,41,45,24,0.246,0.092,0.149,0.055,2,10,0.103,0.22
306,1,168,129,2.963,38,35.001,41,0.095,0.086,0.191,0.045,11,16,0.117,0.26
307,1,171,100,2.297,26,20.0001,17,0.265,0.367,0.132,0.103,2,9,0.07,0.19
310,1,164,144,5,39,57.999,42,0.081,0.089,0.106,0.034,11,16,0.147,0.25
313,1,168,111,6.26,45,66,36,0.054,0.033,0.082,0.033,6,16,0.143,0.41
316,1,174,96,3.077,32,39,27,0.319,0.285,0.326,0.047,4,9,0.097,0.24
319,0,172,95,6.297,36,39,47,0.062,0.045,0.087,0.033,10,16,0.133,0.35
320,0,170,90,6.853,28,47.001,31,0.174,0.088,0.194,0.028,8,15,0.1,0.3
321,1,166,99,2.96,25,45.999,28,0.141,0.061,0.109,0.04,10,16,0.137,0.26
332,0,168,113,3.78,30,54.999,31,0.051,0.056,0.078,0.041,0,15,0.097,0.22
333,0,171,103,4.22,38,42.999,43,0.194,0.078,0.056,0.026,5,16,0.11,0.25
335,0,175,107,4.887,41,54,38,0.068,0.052,0.087,0.022,10,16,0.09,0.3
336,1,175,89,4.115,38,45.999,24,0.096,0.057,0.094,0.058,8,16,0.113,0.29
337,1,164,90,5.037,37,56.001,35,0.157,0.056,0.259,0.06,7,15,0.057,0.26
338,0,170,123,6.89,31,51,39,0.088,0.04,0.067,0.051,11,16,0.153,0.32
339,1,173,85,4.22,27,45,35,0.169,0.08,0.09,0.053,10,16,0.113,0.28
340,1,163,112,5.48,51,60,53,0.046,0.04,0.063,0.037,12,16,0.193,0.46
343,0,166,104,6.483,29,54.999,32,0.09,0.113,0.143,0.057,10,15,0.05,0.25
346,0,165,98,6.337,37,66,33,0.091,0.052,0.117,0.067,12,16,0.133,0.28
347,1,166,106,4.85,40,57.999,41,0.09,0.12,0.222,0.047,4,14,0.067,0.27
348,0,165,106,6.187,38,54.999,27,0.115,0.066,0.167,0.051,6,16,0.11,0.3
353,1,173,93,6.39,45,59.001,29,0.13,0.094,0.058,0.025,7,15,0.113,0.23
356,0,169,90,4.33,26,41.001,24,0.384,0.248,0.223,0.031,5,12,0.047,0.22
359,1,173,95,4.703,36,62.001,39,0.051,0.034,0.057,0.034,12,16,0.17,0.37
366,0,172,95,5.703,27,56.001,23,0.17,0.123,0.188,0.038,9,14,0.123,0.23
369,0,175,89,6,23,45.999,32,0.096,0.079,0.083,0.05,9,15,0.143,0.31
378,0,174,93,3.407,30,45,26,0.105,0.086,0.159,0.055,5,16,0.097,0.16
381,1,178,98,5.52,36,47.001,25,0.03,0.056,0.092,0.042,6,16,0.113,0.3
382,0,165,115,6.743,55,59.001,36,0.086,0.05,0.088,0.027,11,15,0.173,0.34
383,1,170,98,3.553,35,41.001,28,0.196,0.223,0.181,0.037,3,12,0.117,0.26
384,0,167,91,4.78,37,51,34,0.218,0.237,0.241,0.044,2,13,0.123,0.28
385,0,172,113,4.147,30,57,41,0.13,0.109,0.156,0.032,11,16,0.113,0.29
386,0,169,89,5.887,41,42.999,40,0.243,0.106,0.154,0.035,6,16,0.067,0.25
390,1,171,126,6.725,41,75.999,47,0.038,0.031,0.082,0.03,11,16,0.133,0.34
394,0,164,108,5.633,34,63,40,0.038,0.04,0.095,0.013,8,16,0.167,0.39
395,0,167,77,5.78,24,33.999,18,0.193,0.354,0.231,0.046,4,15,0.013,0.22
405,0,174,108,4.333,39,65.001,32,0.054,0.052,0.099,0.051,12,16,0.123,0.27
409,0,165,113,4.555,35,57,41,0.098,0.033,0.143,0.029,11,16,0.12,0.36
